ADDRESS,CITY,"STATEMENT
DATE",UNIT,STATEMENT FROM DATE*,"STATEMENT 
TO DATE*",NUMBER OF DAYS,CALCULATED GPD*
120 Hazel Ln,Piedmont,12/31/15,281,8/21/15,12/23/15,124,1695
123 Requa Rd,Piedmont,12/29/15,81,10/21/15,12/23/15,63,962
87 Sea View Ave,Piedmont,1/21/16,83,11/9/15,1/14/16,66,941
157 Wildwood Gardens,Piedmont,12/29/15,113,10/21/15,12/23/15,63,1342
9 Requa Pl,Piedmont,12/29/15,99,10/21/15,12/23/15,63,1175
25 Crocker Ave,Piedmont,1/20/16,132,11/9/15,1/14/16,66,1496
37 Bellevue Ave,Piedmont,12/29/15,128,10/21/15,12/23/15,63,1520
13 Littlewood Dr,Piedmont,1/14/16,96,11/4/15,1/7/16,64,1122
238 La Salle Ave,Piedmont,1/21/16,216,11/9/15,1/14/16,66,2448
89 Sea View Ave,Piedmont,1/20/16,161,11/9/15,1/14/16,66,1825
312 Sea View Ave,Piedmont,1/21/16,116,11/9/15,1/14/16,66,1315
236 Sea View Ave,Piedmont,1/21/16,98,11/9/15,1/14/16,66,1111
18 Monticello Ave,Piedmont,1/15/16,85,11/6/15,1/12/16,67,949
22 Glen Alpine Rd,Piedmont,1/21/16,135,11/9/15,1/14/16,66,1530
65 Sea View Ave,Piedmont,1/21/16,85,11/9/15,1/14/16,66,963
67 King Ave,Piedmont,1/21/16,149,11/9/15,1/14/16,66,1689
200 Crocker Ave,Piedmont,1/20/16,124,11/9/15,1/14/16,66,1405
144 Hazel Ln,Piedmont,12/29/15,93,10/21/15,12/23/15,63,1104
55 Hazel Ln,Piedmont,12/29/15,165,10/21/15,12/23/15,63,1959
37 Glen Alpine Rd,Piedmont,1/21/16,103,11/9/15,1/14/16,66,1167
14 Caperton Ave,Piedmont,1/4/16,101,10/21/15,12/21/15,61,1238
480 Wildwood Ave,Piedmont,12/29/15,86,10/21/15,12/23/15,63,1021
328 Hemleb Ct,Pinole,12/30/15,96,10/23/15,12/28/15,66,1088
2670 Alice Way,Pinole,12/30/15,96,10/23/15,12/28/15,66,1088
2027 Mohawk Dr,Pleasant Hill,1/7/16,108,10/29/15,12/31/15,63,1282
2081 Buttner Rd,Pleasant Hill,1/7/16,82,10/29/15,12/31/15,63,974
965 Iroquois Dr,Pleasant Hill,1/7/16,216,10/29/15,12/31/15,63,2565
139 S 15th St,Richmond,1/20/16,93,11/10/15,1/14/16,65,1070
118 Maine Ave,Richmond,1/7/16,118,10/28/15,12/31/15,64,1379
334 S 16th St,Richmond,1/20/16,99,11/9/15,1/14/16,66,1122
5709 Skyview Pl,Richmond,1/15/16,99,11/6/15,1/11/16,66,1122
624 15th St,Richmond,1/28/16,96,11/19/15,1/25/16,67,1072
500 S 15th St,Richmond,1/20/16,87,11/9/15,1/14/16,66,986
1063 18th St,Richmond,12/31/15,213,10/22/15,12/23/15,62,2570
65 Overlook Ln,Richmond,1/8/16,90,10/30/15,1/5/16,67,1005
3400 Maricopa Ave,Richmond,1/4/16,124,10/26/15,12/29/15,64,1449
5026 Fallon Ave,Richmond,1/20/16,88,11/10/15,1/14/16,65,1013
1225 Roosevelt Ave,Richmond,1/28/16,91,11/18/15,1/25/16,68,1001
530 33rd St,Richmond,12/28/15,121,10/14/15,12/16/15,63,1437
777 S 49th St,Richmond,1/8/16,111,11/2/15,1/5/16,64,1297
1217 Parkway Ct,Richmond,1/8/16,93,10/30/15,1/5/16,67,1038
5930 Fresno Ave,Richmond,1/12/16,128,11/4/15,1/7/16,64,1496
2375 Brooks Ave,Richmond,1/25/16,86,11/17/15,1/21/16,65,990
809 Banks Dr,Richmond,1/7/16,95,10/28/15,12/31/15,64,1110
1829 5th St,Richmond,1/4/16,97,10/26/15,12/29/15,64,1134
121 Bonita Ct,Rodeo,1/22/16,129,11/13/15,1/19/16,67,1440
539 Vaqueros Ave,Rodeo,1/29/16,98,11/19/15,1/26/16,68,1078
183 Garcia Ave,San Leandro,1/12/16,91,11/3/15,1/7/16,65,1047
1631 Estudillo Ave,San Leandro,1/7/16,110,10/29/15,1/4/16,67,1228
1667 140th Ave,San Leandro,12/30/15,82,10/22/15,12/24/15,63,974
1541 159th Ave,San Leandro,1/5/16,158,10/27/15,12/30/15,64,1847
15574 Argonne St,San Leandro,1/21/16,144,11/12/15,1/15/16,64,1683
133 Pontiac St,San Leandro,1/8/16,174,10/30/15,1/4/16,66,1972
1579 151st Ave,San Leandro,1/5/16,107,10/26/15,12/30/15,65,1231
480 Joaquin Ave,San Leandro,1/4/16,128,10/26/15,12/29/15,64,1496
839 Williams St,San Leandro,1/15/16,90,11/6/15,1/11/16,66,1020
2027 W Ave 133rd,San Leandro,1/20/16,85,11/9/15,1/13/16,65,978
16028 Via Arroyo,San Lorenzo,1/29/16,121,11/20/15,1/27/16,68,1331
1940 Keller Ave,San Lorenzo,1/27/16,121,11/18/15,1/25/16,68,1331
15798 Via Rivera,San Lorenzo,1/29/16,99,11/20/15,1/26/16,67,1105
1217 Marin Ave,San Pablo,1/25/16,107,11/16/15,1/21/16,66,1213
1125 Road 20,San Pablo,1/5/16,121,10/27/15,12/30/15,64,1414
6225 Lakeview Cir,San Ramon,1/29/16,116,11/25/15,1/26/16,62,1399
908 Regalo Way,San Ramon,1/20/16,90,11/10/15,1/13/16,64,1052
4518 Lilac Ridge Rd,San Ramon,1/27/16,82,11/17/15,1/22/16,66,929
3028 Sorrelwood Dr,San Ramon,1/27/16,88,11/17/15,1/22/16,66,997
5339 Cypress Hawk Ct,San Ramon,1/27/16,81,11/17/15,1/22/16,66,918
1867 Royal Ct,Walnut Creek,1/20/16,119,11/12/15,1/14/16,63,1413
2219 Tice Valley Bl,Walnut Creek,1/29/16,131,11/23/15,1/26/16,64,1531
901 Sousa Dr,Walnut Creek,1/5/16,126,10/27/15,12/30/15,64,1473
1261 Lindell Dr,Walnut Creek,1/13/16,113,11/4/15,1/8/16,65,1300
158 Saddle Oaks Ct,Walnut Creek,1/14/16,212,11/4/15,1/8/16,65,2440
512 Matisse Ct,Walnut Creek,1/25/16,91,11/16/15,1/19/16,64,1064
1170 Camino Verde Cir,Walnut Creek,1/26/16,81,11/16/15,1/21/16,66,918
80 Maple Ln,Walnut Creek,1/20/16,100,11/10/15,1/14/16,65,1151
1278 Rudgear Rd,Walnut Creek,1/14/16,104,11/4/15,1/8/16,65,1197
172 Glen Ct,Walnut Creek,1/20/16,102,11/12/15,1/14/16,63,1211
11 El Camino Ter,Walnut Creek,1/13/16,92,11/4/15,1/7/16,64,1075
357 Clarkin Ct,Walnut Creek,1/14/16,89,11/4/15,1/8/16,65,1024
